file,line_number,classification,match_tier,reason,raw_date,date,account_raw,account_code,account_name,description,csv_key_raw,csv_debit,csv_credit,csv_net,alms_id,alms_date,alms_account_code,alms_account_name,alms_description,alms_debit,alms_credit,alms_net
Copy of General_ledger2.csv,136,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,6.51,-6.51,,,,,,,,
Copy of General_ledger2.csv,137,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,840.75,-840.75,,,,,,,,
Copy of General_ledger2.csv,138,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1524.70,-1524.70,,,,,,,,
Copy of General_ledger2.csv,139,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,729.75,-729.75,,,,,,,,
Copy of General_ledger2.csv,140,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,15167.21,-15167.21,,,,,,,,
Copy of General_ledger2.csv,141,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,261.27,-261.27,,,,,,,,
Copy of General_ledger2.csv,142,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,165.37,-165.37,,,,,,,,
Copy of General_ledger2.csv,143,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,7703.77,-7703.77,,,,,,,,
Copy of General_ledger2.csv,144,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,6520.92,-6520.92,,,,,,,,
Copy of General_ledger2.csv,145,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2000 Accounts Payable,2000,Accounts Payable,Journal Entry,,,1800.00,-1800.00,,,,,,,,
Copy of General_ledger2.csv,148,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2300 Capital One Mastercard 9853,2300,Capital One Mastercard 9853,Journal Entry,,2297.04,,2297.04,,,,,,,,
Copy of General_ledger2.csv,149,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2300 Capital One Mastercard 9853,2300,Capital One Mastercard 9853,Journal Entry,,,2356.04,-2356.04,,,,,,,,
Copy of General_ledger2.csv,152,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,2310 RBC Visa 9016 - No Rec,2310,RBC Visa 9016 - No Rec,Journal Entry,,,16091.95,-16091.95,,,,,,,,
